Meets/Tests Rate,Masters/Test Rate,Approaches/Test Rate,Meets/ELA-Reading,Masters/ELA-Reading,Approaches/ELA-Reading,CAMPUSID,School,# Enrolled,% Enrolled,# Econ Disadv,% Econ Disadv,# LEP,% LEP,# Special Ed,% Special Ed,Grade Span
14.0,2.0,49.0,12.0,1.0,37.0,14801007,RICHARD MILBURN ACADEMY CORPUS CHR,277,100.0,211,76.199997,4,1.4,28,10.1,'09 - 12
16.0,2.0,56.0,13.0,0.0,43.0,14801008,RICHARD MILBURN ACADEMY AMARILLO,156,100.0,123,78.800003,1,0.60000002,23,14.7,'09 - 12
11.0,0.0,47.0,7.0,0.0,37.0,14801009,RICHARD MILBURN ACADEMY PASADENA,158,100.0,144,91.099998,19,12.0,18,11.4,'09 - 12
8.0,0.0,32.0,8.0,0.0,25.0,14801010,RICHARD MILBURN ACADEMY MIDLAND SO,135,100.0,88,65.199997,8,5.9000001,9,6.6999998,'09 - 12
36.0,13.0,78.0,45.0,12.0,73.0,14803002,GEORGETOWN CHARTER ACADEMY,41,53.200001,39,50.599998,3,3.9000001,7,9.1000004,'PK - 08
29.0,11.0,67.0,29.0,11.0,64.0,14803003,COVE CHARTER ACADEMY,150,63.599998,147,62.299999,9,3.8,34,14.4,'PK - 12
42.0,18.0,73.0,43.0,18.0,66.0,14803004,CEDAR PARK CHARTER ACADEMY,128,67.400002,65,34.200001,11,5.8000002,28,14.7,'PK - 12
39.0,15.0,69.0,39.0,16.0,69.0,14803101,TEMPLE CHARTER ACADEMY,168,58.700001,204,71.300003,17,5.9000001,28,9.8000002,'PK - 12
0.0,0.0,0.0,0.0,0.0,0.0,14804002,NEW HORIZONS,64,95.5,67,100.0,2,3.0,35,52.200001,'02 - 10
57.0,14.0,83.0,48.0,7.0,74.0,14804005,GATEWAY TECH H S,74,100.0,12,16.200001,0,0.0,9,12.2,'09 - 12
71.0,40.0,93.0,73.0,42.0,94.0,14804006,GATEWAY COLLEGE PREPARATORY SCHOOL,995,76.5,73,5.5999999,16,1.2,68,5.1999998,'KG - 12
40.0,18.0,71.0,37.0,22.0,72.0,14804007,NOLAN CREEK SCHOOL,51,45.099998,27,23.9,4,3.5,11,9.6999998,'KG - 06
36.0,18.0,70.0,38.0,26.0,74.0,14804008,KINGSLAND SCHOOL,115,69.699997,85,51.5,0,0.0,42,25.5,'KG - 08
55.0,16.0,81.0,57.0,10.0,74.0,14901001,ACADEMY H S,450,100.0,158,35.099998,6,1.3,57,12.7,'09 - 12
54.0,25.0,84.0,54.0,28.0,82.0,14901041,ACADEMY J H,379,100.0,176,46.400002,18,4.6999998,26,6.900000099999999,'06 - 08
53.0,28.0,84.0,46.0,26.0,84.0,14901101,ACADEMY INT,396,100.0,184,46.5,28,7.099999900000001,35,8.8000002,'03 - 05
31.0,10.0,68.0,34.0,11.0,70.0,14902001,BARTLETT SCHOOLS,245,71.599998,287,83.900002,55,16.1,30,8.8000002,'PK - 12
56.0,21.0,76.0,50.0,10.0,67.0,14903001,BELTON H S,2923,100.0,1278,43.700001,162,5.5,398,13.6,'09 - 12
74.0,29.0,91.0,73.0,15.0,88.0,14903005,BELTON NEW TECH H S AT WASKOW,521,100.0,128,24.6,2,0.40000001,19,3.5999999,'09 - 12
47.0,20.0,77.0,45.0,23.0,75.0,14903043,LAKE BELTON MIDDLE,916,100.0,452,49.299999,38,4.0999998999999985,130,14.2,'06 - 08
45.0,21.0,76.0,46.0,23.0,75.0,14903044,SOUTH BELTON MIDDLE,879,100.0,467,53.099998,80,9.1000004,112,12.7,'06 - 08
57.0,29.0,85.0,57.0,30.0,85.0,14903045,NORTH BELTON MIDDLE,1031,100.0,356,34.5,21,2.0,131,12.7,'06 - 08
