campname,cpe0312c,cpe0312p,cpetecoc,cpetecop,cpetlepc,cpetlepp,cpetspec,cpetspep,grdspan,CAMPUSID
GLORIA MARSHALL EL,362,47.400002,522,68.400002,194,25.4,69,9,'EE - 05,101919128
CLARK PRI,9,1.8,470,91.400002,157,30.5,40,7.8000002,'EE - 05,101919129
MEMORIAL H S,2616,100,345,13.2,129,4.9000001,120,4.5999999,'09 - 12,101920001
SPRING WOODS H S,2150,100,1635,76,631,29.299999,228,10.6,'09 - 12,101920003
NORTHBROOK H S,2576,100,2354,91.400002,921,35.799999,236,9.1999998,'09 - 12,101920005
STRATFORD H S,2137,100,615,28.799999,170,8,104,4.9000001,'09 - 12,101920006
HARRIS CO J J A E P,2,100,2,100,1,50,0,0,'10 - 11,101920010
WESTCHESTER ACADEMY FOR INTERNATIO,1014,100,615,60.700001,127,12.5,38,3.7,'06 - 12,101920014
ACADEMY OF CHOICE,156,100,107,68.599998,21,13.5,8,5.0999999,'06 - 12,101920016
SPRING BRANCH ACADEMIC INSTITUTE,90,81.099998,5,4.5,7,6.3000002,2,1.8,'KG - 09,101920018
LANDRUM MIDDLE,1041,100,951,91.400002,527,50.599998,95,9.1000004,'05 - 08,101920041
MEMORIAL MIDDLE,1336,100,99,7.4000001,76,5.6999998,66,4.9000001,'06 - 08,101920042
SPRING BRANCH MIDDLE,1082,100,418,38.599998,220,20.299999,78,7.1999998,'06 - 08,101920043
SPRING WOODS MIDDLE,876,100,838,95.699997,422,48.200001,108,12.3,'06 - 08,101920044
SPRING FOREST MIDDLE,916,100,461,50.299999,132,14.4,73,8,'06 - 08,101920045
SPRING OAKS MIDDLE,717,100,528,73.599998,330,46,100,13.9,'06 - 08,101920046
NORTHBROOK MIDDLE,885,100,858,96.900002,459,51.900002,80,9,'06 - 08,101920047
CORNERSTONE ACADEMY,377,100,101,26.799999,17,4.5,6,1.6,'06 - 08,101920048
BENDWOOD SCHOOL,0,0,25,59.5,0,0,42,100,'EE - EE,101920101
BUNKER HILL EL,346,56,60,9.6999998,131,21.200001,38,6.0999999,'KG - 05,101920102
EDGEWOOD EL,305,48.700001,530,84.699997,382,61,65,10.4,'PK - 05,101920103
FROSTWOOD EL,387,54.5,54,7.5999999,132,18.6,44,6.1999998,'KG - 05,101920104
HOLLIBROOK EL,366,49.299999,732,98.5,659,88.699997,69,9.3000002,'PK - 05,101920105
HOUSMAN EL,288,55,477,91,292,55.700001,57,10.9,'KG - 05,101920106
HUNTERS CREEK EL,368,56.400002,111,17,92,14.1,49,7.5,'KG - 05,101920107
MEADOW WOOD EL,247,50.299999,157,32,75,15.3,47,9.6000004,'PK - 05,101920108
MEMORIAL DRIVE EL,231,54.400002,47,11.1,33,7.8000002,26,6.0999999,'PK - 05,101920109
PINE SHADOWS EL,373,48.599998,599,78.099998,444,57.900002,57,7.4000001,'KG - 05,101920110
RIDGECREST EL,389,49.099998,775,97.900002,574,72.5,82,10.4,'KG - 05,101920111
RUMMEL CREEK EL,353,47.900002,37,5,73,9.8999996,55,7.5,'PK - 05,101920112
SHADOW OAKS EL,317,49,615,95.099998,439,67.900002,65,10,'PK - 05,101920113
SPRING BRANCH EL,317,53.099998,582,97.5,393,65.800003,58,9.6999998,'KG - 05,101920114
VALLEY OAKS EL,310,43.200001,101,14.1,50,7,52,7.1999998,'PK - 05,101920115
WESTWOOD EL,282,54.299999,459,88.400002,341,65.699997,64,12.3,'KG - 05,101920116
WOODVIEW EL,278,49.299999,547,97,380,67.400002,65,11.5,'PK - 05,101920117
WILCHESTER EL,421,51.5,37,4.5,101,12.4,34,4.1999998,'PK - 05,101920118
SHERWOOD EL,219,48.599998,294,65.199997,210,46.599998,33,7.3000002,'PK - 05,101920119
SPRING SHADOW EL,304,49.5,558,90.900002,373,60.700001,65,10.6,'KG - 05,101920120
NOTTINGHAM EL,240,48.5,172,34.700001,89,18,53,10.7,'PK - 05,101920121
TERRACE EL,179,46.299999,292,75.5,164,42.400002,51,13.2,'PK - 05,101920122
THORNWOOD EL,206,48,377,87.900002,139,32.400002,36,8.3999996,'PK - 05,101920123
CEDAR BROOK EL,339,46.700001,585,80.599998,442,60.900002,58,8,'PK - 05,101920124
TREASURE FOREST EL,235,47.200001,483,97,374,75.099998,56,11.2,'KG - 05,101920125
BUFFALO CREEK EL,265,52.299999,476,93.900002,348,68.599998,60,11.8,'KG - 05,101920126
THE WILDCAT WAY SCHOOL,0,0,219,59,110,29.6,38,10.2,'EE - PK,101920128
THE PANDA PATH SCHOOL,0,0,208,98.599998,179,84.800003,11,5.1999998,'PK - PK,101920129
THE LION LANE SCHOOL,0,0,289,89.800003,238,73.900002,8,2.5,'EE - PK,101920130
THE BEAR BLVD SCHOOL,0,0,260,88.400002,187,63.599998,20,6.8000002,'EE - PK,101920131
THE TIGER TRAIL SCHOOL,0,0,309,89.599998,219,63.5,21,6.0999999,'EE - PK,101920132
TOMBALL H S,2054,100,563,27.4,80,3.9000001,180,8.8000002,'09 - 12,101921001
TOMBALL MEMORIAL H S,2310,100,398,17.200001,58,2.5,156,6.8000002,'09 - 12,101921002
TOMBALL J J A E P CAMPUS,2,100,0,0,0,0,0,0,'09 - 10,101921003
TOMBALL STAR ACADEMY,235,100,50,21.299999,5,2.0999999,9,3.8,'09 - 10,101921005
TOMBALL J H,767,100,294,38.299999,73,9.5,80,10.4,'07 - 08,101921042
WILLOW WOOD J H,1353,100,250,18.5,50,3.7,81,6,'07 - 08,101921043
CREEKSIDE PARK J H,766,100,67,8.6999998,61,8,55,7.1999998,'06 - 08,101921044
DECKER PRAIRIE EL,266,37.900002,324,46.200001,116,16.5,75,10.7,'EE - 04,101921102
LAKEWOOD EL,301,35.799999,177,21,88,10.5,78,9.3000002,'EE - 04,101921103
TOMBALL INT,761,100,336,44.200001,124,16.299999,89,11.7,'05 - 06,101921105
WILLOW CREEK EL,322,41.5,163,21,92,11.9,62,8,'EE - 04,101921107
