campname,cpe0312c,cpe0312p,cpetecoc,cpetecop,cpetlepc,cpetlepp,cpetspec,cpetspep,grdspan,CAMPUSID
M B NORTH E C LRN CTR,0,0,273,98.900002,30,10.9,22,8,'EE - PK,181906104
VIDOR H S,1238,100,567,45.799999,12,1,160,12.9,'09 - 12,181907001
AIM CENTER H S,44,100,23,52.299999,1,2.3,12,27.299999,'10 - 12,181907002
VIDOR J H,676,100,345,51,7,1,80,11.8,'07 - 08,181907041
PINE FOREST EL,200,32.299999,358,57.700001,16,2.5999999,73,11.8,'EE - 04,181907101
VIDOR EL,224,34.799999,459,71.400002,11,1.7,88,13.7,'EE - 04,181907102
OAK FOREST EL,250,39.700001,396,62.900002,24,3.8,67,10.6,'EE - 04,181907103
VIDOR MIDDLE,694,100,389,56.099998,6,0.89999998,95,13.7,'05 - 06,181907104
LIT CYPR-MRCEVILLE H S,980,100,304,31,12,1.2,129,13.2,'09 - 12,181908001
LITTLE CYPRESS J H,461,100,142,30.799999,6,1.3,55,11.9,'06 - 08,181908041
MAURICEVILLE MIDDLE,274,100,122,44.5,6,2.2,40,14.6,'06 - 08,181908042
LITTLE CYPRESS EL,124,22.799999,262,48.200001,18,3.3,65,11.9,'EE - 03,181908101
MAURICEVILLE EL,301,50.299999,255,42.599998,15,2.5,68,11.4,'EE - 05,181908102
LITTLE CYPRESS INT,305,98.699997,118,38.200001,11,3.5999999,35,11.3,'KG - 05,181908103
GORDON SCHOOL,135,72.199997,101,54,3,1.6,14,7.5,'PK - 12,182901001
GRAFORD H S,173,100,96,55.5,4,2.3,14,8.1000004,'06 - 12,182902001
GRAFORD EL,78,44.799999,108,62.099998,11,6.3000002,13,7.5,'PK - 05,182902101
MINERAL WELLS H S,839,100,568,67.699997,21,2.5,85,10.1,'09 - 12,182903001
MINERAL WELLS ACADEMY,19,100,13,68.400002,0,0,4,21.1,'10 - 12,182903002
MINERAL WELLS J H,493,100,371,75.300003,36,7.3000002,38,7.6999998,'07 - 08,182903041
MINERAL WELLS EL,971,50.5,1560,81.199997,315,16.4,195,10.1,'EE - 06,182903105
SANTO H S,258,100,99,38.400002,8,3.0999999,19,7.4000001,'06 - 12,182904001
SANTO EL,95,46.599998,101,49.5,13,6.4000001,14,6.9000001,'PK - 05,182904101
STRAWN SCHOOL,125,74.900002,108,64.699997,23,13.8,17,10.2,'EE - 12,182905001
PALO PINTO EL,46,48.400002,62,65.300003,1,1.1,5,5.3000002,'PK - 06,182906101
PANOLA CS,32,100,19,59.400002,0,0,10,31.299999,'08 - 12,183801001
TEXAS EARLY COLLEGE H S,71,100,26,36.599998,0,0,2,2.8,'08 - 12,183801002
PANOLA EARLY COLLEGE H S,40,100,19,47.5,0,0,2,5,'08 - 12,183801003
BECKVILLE JR-SR HIGH SCHOOL,362,100,140,38.700001,7,1.9,34,9.3999996,'06 - 12,183901001
BECKVILLE SUNSET EL,148,44,146,43.5,9,2.7,37,11,'EE - 05,183901101
CARTHAGE H S,798,100,380,47.599998,30,3.8,94,11.8,'09 - 12,183902001
CARTHAGE J H,409,100,231,56.5,35,8.6000004,46,11.2,'07 - 08,183902042
BAKER-KOONCE INT,633,100,352,55.599998,76,12,67,10.6,'04 - 06,183902101
LIBBY EL,185,50.299999,225,61.099998,45,12.2,30,8.1999998,'02 - 03,183902103
CARTHAGE PRI,0,0,329,65.900002,48,9.6000004,66,13.2,'EE - 01,183902104
GARY SCHOOL,337,72.300003,236,50.599998,15,3.2,51,10.9,'EE - 12,183904001
CROSSTIMBERS ACADEMY,151,100,70,46.400002,0,0,11,7.3000002,'09 - 12,184801001
POOLVILLE H S,161,100,78,48.400002,4,2.5,19,11.8,'09 - 12,184901001
POOLVILLE J H,91,100,52,57.099998,8,8.8000002,10,11,'06 - 08,184901041
POOLVILLE EL,141,48.799999,190,65.699997,25,8.6999998,32,11.1,'EE - 05,184901101
SPRINGTOWN H S,992,100,498,50.200001,24,2.4000001,95,9.6000004,'09 - 12,184902001
SPRINGTOWN MIDDLE,517,100,281,54.400002,35,6.8000002,48,9.3000002,'07 - 08,184902041
SPRINGTOWN EL,180,32.299999,392,70.400002,52,9.3000002,55,9.8999996,'EE - 04,184902106
SPRINGTOWN RENO EL,112,30.9,270,74.599998,36,9.8999996,22,6.0999999,'PK - 04,184902107
SPRINGTOWN INT,561,100,312,55.599998,29,5.1999998,50,8.8999996,'05 - 06,184902108
GOSHEN CREEK EL,192,40.299999,247,51.799999,25,5.1999998,36,7.5,'KG - 04,184902109
WEATHERFORD H S,2307,100,774,33.599998,131,5.6999998,237,10.3,'09 - 12,184903001
HALL MIDDLE,972,100,408,42,90,9.3000002,99,10.2,'06 - 08,184903041
TISON MIDDLE,936,100,376,40.200001,83,8.8999996,109,11.6,'06 - 08,184903042
CROCKETT EL,234,45.900002,244,47.799999,11,2.2,69,13.5,'EE - 05,184903102
WRIGHT EL,244,47.400002,315,61.200001,123,23.9,36,7,'EE - 05,184903103
CURTIS EL,340,48.599998,334,47.799999,27,3.9000001,59,8.3999996,'PK - 05,184903105
AUSTIN EL,306,54.700001,197,35.200001,16,2.9000001,57,10.2,'KG - 05,184903106
MARTIN EL,296,53.299999,116,20.9,10,1.8,52,9.3999996,'KG - 05,184903108
SEGUIN EL,244,54,311,68.800003,86,19,48,10.6,'PK - 05,184903109
IKARD EL,261,48.299999,341,63.099998,110,20.4,53,9.8000002,'EE - 05,184903110
MILLSAP H S,301,100,135,44.900002,4,1.3,31,10.3,'09 - 12,184904001
MILLSAP MIDDLE,223,100,97,43.5,6,2.7,22,9.8999996,'06 - 08,184904041
MILLSAP EL,238,48.400002,237,48.200001,14,2.8,38,7.6999998,'PK - 05,184904101
ALEDO H S,1316,100,131,10,11,0.80000001,81,6.1999998,'09 - 12,184907001
DON R DANIEL NINTH GRADE CAMPUS,466,100,56,12,12,2.5999999,25,5.4000001,'09 - 09,184907009
ALEDO MIDDLE,943,100,128,13.6,22,2.3,66,7,'07 - 08,184907041
VANDAGRIFF EL,318,50.700001,57,9.1000004,9,1.4,56,8.8999996,'KG - 05,184907101
CODER EL,226,45.400002,174,34.900002,42,8.3999996,62,12.4,'EE - 05,184907102
STUARD EL,312,52.799999,30,5.0999999,7,1.2,28,4.6999998,'KG - 05,184907103
MCCALL EL,352,52.799999,108,16.200001,28,4.1999998,65,9.6999998,'KG - 05,184907104
WALSH EL,231,48.799999,93,19.700001,20,4.1999998,43,9.1000004,'KG - 05,184907105
MCANALLY INT,519,100,88,17,16,3.0999999,36,6.9000001,'06 - 06,184907110
PEASTER H S,356,100,98,27.5,4,1.1,31,8.6999998,'09 - 12,184908001
PEASTER MIDDLE,201,100,57,28.4,4,2,19,9.5,'07 - 08,184908041
PEASTER EL,379,56.799999,229,34.299999,34,5.0999999,47,7,'EE - 06,184908101
BROCK H S,435,100,29,6.6999998,3,0.69999999,18,4.0999999,'09 - 12,184909001
BROCK J H,225,100,28,12.4,1,0.40000001,18,8,'07 - 08,184909041
BROCK INT,467,100,47,10.1,6,1.3,36,7.6999998,'03 - 06,184909101
BROCK EL,0,0,40,10.4,13,3.4000001,36,9.3999996,'EE - 02,184909102
GARNER EL,127,63.200001,112,55.700001,8,4,18,9,'PK - 08,184911101
BOVINA H S,134,100,112,83.599998,20,14.9,6,4.5,'09 - 12,185901001
BOVINA MIDDLE,110,100,93,84.5,20,18.200001,13,11.8,'06 - 08,185901041
BOVINA EL,118,46.099998,228,89.099998,86,33.599998,18,7,'EE - 05,185901101
FARWELL H S,151,100,82,54.299999,13,8.6000004,18,11.9,'09 - 12,185902001
FARWELL J H,133,100,74,55.599998,21,15.8,15,11.3,'06 - 08,185902041
FARWELL EL,137,51.099998,167,62.299999,60,22.4,28,10.4,'EE - 05,185902101
FRIONA H S,310,100,188,60.599998,52,16.799999,36,11.6,'09 - 12,185903001
FRIONA J H,216,100,151,69.900002,38,17.6,21,9.6999998,'06 - 08,185903041
FRIONA EL,247,73.5,234,69.599998,156,46.400002,26,7.6999998,'02 - 05,185903101
FRIONA PRI,0,0,196,72.099998,105,38.599998,17,6.3000002,'EE - 01,185903102
LAZBUDDIE SCHOOL,122,73.099998,126,75.400002,19,11.4,20,12,'PK - 12,185904001
BUENA VISTA SCHOOL,185,72.5,106,41.599998,14,5.5,8,3.0999999,'PK - 12,186901001
FORT STOCKTON HIGH,704,100,411,58.400002,53,7.5,40,5.6999998,'09 - 12,186902001
FORT STOCKTON MIDDLE,587,100,417,71,51,8.6999998,44,7.5,'06 - 08,186902041
FORT STOCKTON INT,432,100,300,69.400002,55,12.7,29,6.6999998,'04 - 05,186902101
FORT STOCKTON ALAMO EL,116,26.4,320,72.699997,57,13,34,7.6999998,'PK - 03,186902102
FORT STOCKTON APACHE EL,65,22.6,206,71.5,31,10.8,15,5.1999998,'KG - 03,186902104
IRAAN H S,101,100,37,36.599998,6,5.9000001,6,5.9000001,'09 - 12,186903001
IRAAN J H,76,100,36,47.400002,7,9.1999998,5,6.5999999,'06 - 08,186903041
IRAAN EL,97,43.5,129,57.799999,37,16.6,24,10.8,'EE - 05,186903101
BIG SANDY SCHOOL,376,73.400002,270,52.700001,0,0,52,10.2,'EE - 12,187901001
GOODRICH H S,57,100,46,80.699997,1,1.8,7,12.3,'09 - 12,187903001
GOODRICH MIDDLE,53,100,47,88.699997,11,20.799999,3,5.6999998,'06 - 08,187903041
GOODRICH EL,65,49.599998,115,87.800003,33,25.200001,11,8.3999996,'PK - 05,187903101
CORRIGAN-CAMDEN H S,239,100,185,77.400002,23,9.6000004,27,11.3,'09 - 12,187904001
CORRIGAN-CAMDEN J H,210,100,145,69,38,18.1,16,7.5999999,'06 - 08,187904041
CORRIGAN-CAMDEN EL,173,46.400002,318,85.300003,63,16.9,32,8.6000004,'PK - 05,187904103
LEGGETT H S,59,100,59,100,2,3.4000001,4,6.8000002,'07 - 12,187906001
LEGGETT EL,55,50.900002,108,100,7,6.5,10,9.3000002,'PK - 06,187906101
LIVINGSTON H S,1036,100,664,64.099998,35,3.4000001,104,10,'09 - 12,187907002
LIVINGSTON H S ACADEMY,27,100,16,59.299999,0,0,5,18.5,'09 - 12,187907004
LIVINGSTON J H,939,100,672,71.599998,92,9.8000002,113,12,'06 - 08,187907041
LIVINGSTON INT,611,100,455,74.5,58,9.5,69,11.3,'04 - 05,187907101
TIMBER CREEK EL,99,22.700001,369,84.599998,50,11.5,35,8,'PK - 03,187907102
PINE RIDGE EL,98,22,364,81.800003,84,18.9,26,5.8000002,'EE - 03,187907103
CEDAR GROVE EL,98,21.5,343,75.400002,16,3.5,30,6.5999999,'EE - 03,187907104
ONALASKA JR/SR HIGH,467,100,346,74.099998,4,0.89999998,64,13.7,'07 - 12,187910001
ONALASKA EL,340,52.099998,487,74.699997,10,1.5,66,10.1,'EE - 06,187910101
AMARILLO H S,2090,100,508,24.299999,15,0.69999999,173,8.3000002,'09 - 12,188901001
CAPROCK H S,2074,100,1532,73.900002,95,4.5999999,238,11.5,'09 - 12,188901002
AMARILLO AREA CTR FOR ADVANCED LRN,13,100,2,15.4,0,0,0,0,'09 - 12,188901003
PALO DURO H S,1993,100,1579,79.199997,388,19.5,200,10,'09 - 12,188901004
TASCOSA H S,2339,100,1234,52.799999,90,3.8,182,7.8000002,'09 - 12,188901005
AUSTIN MIDDLE,793,100,532,67.099998,32,4,92,11.6,'06 - 08,188901041
BOWIE MIDDLE,783,100,680,86.800003,101,12.9,118,15.1,'06 - 08,188901042
CROCKETT MIDDLE,892,100,343,38.5,21,2.4000001,97,10.9,'06 - 08,188901043
FANNIN MIDDLE,677,100,499,73.699997,35,5.1999998,93,13.7,'06 - 08,188901044
HOUSTON MIDDLE,671,100,574,85.5,74,11,117,17.4,'06 - 08,188901045
MANN MIDDLE,482,100,448,92.900002,103,21.4,71,14.7,'06 - 08,188901046
TRAVIS MIDDLE,707,100,655,92.599998,201,28.4,76,10.7,'06 - 08,188901047
BONHAM MIDDLE,861,100,286,33.200001,18,2.0999999,84,9.8000002,'06 - 08,188901048
LORENZO DE ZAVALA MIDDLE,422,100,122,28.9,9,2.0999999,37,8.8000002,'05 - 08,188901049
JOHNNY N ALLEN-6TH GRADE CAMPUS,236,100,223,94.5,61,25.799999,28,11.9,'06 - 06,188901050
BOWIE 6TH GRADE CAMPUS,397,100,342,86.099998,71,17.9,38,9.6000004,'06 - 06,188901052
TRAVIS 6TH GRADE CAMPUS,384,100,361,94,139,36.200001,39,10.2,'06 - 06,188901053
AVONDALE EL,257,44.200001,453,77.800003,25,4.3000002,71,12.2,'PK - 05,188901101
BELMAR EL,190,51.200001,145,39.099998,14,3.8,54,14.6,'EE - 05,188901102
BIVINS EL,236,47.099998,359,71.699997,15,3,52,10.4,'PK - 05,188901103
CORONADO EL,217,43.5,321,64.300003,19,3.8,60,12,'EE - 05,188901104
EASTRIDGE EL,293,38.599998,715,94.199997,577,76,27,3.5999999,'PK - 05,188901105
EMERSON EL,232,44.599998,507,97.5,265,51,54,10.4,'PK - 05,188901106
FOREST HILL EL,210,38.900002,521,96.5,234,43.299999,87,16.1,'PK - 05,188901107
GLENWOOD EL,159,36.700001,410,94.699997,184,42.5,49,11.3,'PK - 05,188901108
HAMLET EL,167,48.5,338,98.300003,62,18,59,17.200001,'PK - 05,188901109
CARVER EARLY CHILDHOOD ACADEMY,0,0,201,56.099998,8,2.2,37,10.3,'EE - 01,188901110
HUMPHREY'S HIGHLAND EL,277,46.700001,545,91.900002,300,50.599998,48,8.1000004,'PK - 05,188901111
LAMAR EL,138,43.700001,259,82,44,13.9,68,21.5,'EE - 05,188901112
LANDERGIN EL,128,46.200001,244,88.099998,11,4,46,16.6,'PK - 05,188901113
LAWNDALE EL,165,42.599998,333,86,30,7.8000002,58,15,'EE - 05,188901114
LEE EL,150,48.099998,292,93.599998,109,34.900002,54,17.299999,'PK - 05,188901115
OAK DALE EL,187,44.799999,338,81.099998,28,6.6999998,55,13.2,'PK - 05,188901119
OLSEN PARK EL,225,52.599998,205,47.900002,14,3.3,37,8.6000004,'KG - 05,188901120
PARAMOUNT TERRACE EL,177,48.900002,233,64.400002,21,5.8000002,68,18.799999,'PK - 05,188901121
PLEASANT VALLEY EL,117,43.200001,232,85.599998,23,8.5,23,8.5,'PK - 05,188901122
RIDGECREST EL,222,53.200001,204,48.900002,12,2.9000001,41,9.8000002,'KG - 05,188901123
ROGERS EL,247,44.5,520,93.699997,312,56.200001,39,7,'PK - 05,188901124
SANBORN EL,204,42.900002,447,93.900002,172,36.099998,57,12,'PK - 05,188901125
SAN JACINTO EL,235,39.400002,557,93.300003,66,11.1,97,16.200001,'EE - 05,188901126
SOUTH GEORGIA EL,199,44.099998,294,65.199997,9,2,53,11.8,'EE - 05,188901127
SOUTH LAWN EL,187,44.200001,340,80.400002,18,4.3000002,53,12.5,'PK - 05,188901128
SUNRISE EL,128,47.900002,242,90.599998,66,24.700001,28,10.5,'PK - 05,188901130
WESTERN PLATEAU EL,217,51.200001,231,54.5,13,3.0999999,54,12.7,'KG - 05,188901131
WHITTIER EL,223,41.400002,506,94.099998,213,39.599998,74,13.8,'EE - 05,188901132
WILLS EL,227,40.400002,502,89.300003,225,40,56,10,'PK - 05,188901133
MESA VERDE EL,204,43.599998,441,94.199997,212,45.299999,50,10.7,'PK - 05,188901134
WOLFLIN EL,183,44.599998,281,68.5,23,5.5999999,57,13.9,'PK - 05,188901135
NORTH HEIGHTS ALTER,76,100,44,57.900002,6,7.9000001,9,11.8,'09 - 12,188901138
PUCKETT EL,207,54.299999,106,27.799999,9,2.4000001,41,10.8,'KG - 05,188901139
SLEEPY HOLLOW EL,289,52.5,94,17.1,14,2.5,60,10.9,'KG - 05,188901140
WINDSOR EL,275,52.5,134,25.6,8,1.5,70,13.4,'EE - 05,188901141
WOODLANDS EL,167,41.5,95,23.6,18,4.5,34,8.5,'KG - 04,188901142
TRADEWIND EL,272,40.700001,502,75,105,15.7,74,11.1,'EE - 05,188901143
CARVER EL ACADEMY,238,72.800003,217,66.400002,6,1.8,37,11.3,'02 - 05,188901170
RIVER ROAD H S,388,100,197,50.799999,5,1.3,44,11.3,'09 - 12,188902001
RIVER ROAD MIDDLE,336,100,213,63.400002,12,3.5999999,35,10.4,'06 - 08,188902042
ROLLING HILLS EL,300,63.200001,299,62.900002,11,2.3,66,13.9,'01 - 05,188902101
WILLOW VISTA ECA,0,0,99,71.699997,0,0,11,8,'EE - KG,188902103
HIGHLAND PARK H S,212,100,117,55.200001,4,1.9,27,12.7,'09 - 12,188903001
HIGHLAND PARK MIDDLE,228,100,154,67.5,34,14.9,32,14,'06 - 08,188903041
HIGHLAND PARK EL,180,42.700001,302,71.599998,25,5.9000001,46,10.9,'PK - 05,188903101
BUSHLAND H S,465,100,53,11.4,4,0.89999998,40,8.6000004,'09 - 12,188904001
BUSHLAND MIDDLE,473,100,95,20.1,5,1.1,67,14.2,'05 - 08,188904041
BUSHLAND EL,202,42.200001,102,21.299999,4,0.80000001,65,13.6,'EE - 04,188904101
MARFA SCHOOLS,238,70.199997,269,79.400002,84,24.799999,27,8,'PK - 12,189901001
PRESIDIO H S,422,100,394,93.400002,159,37.700001,36,8.5,'09 - 12,189902001
LUCY REDE FRANCO MIDDLE,271,100,245,90.400002,127,46.900002,11,4.0999999,'06 - 08,189902041
PRESIDIO EL,244,49.299999,465,93.900002,347,70.099998,24,4.8000002,'EE - 05,189902101
RAINS H S,460,100,264,57.400002,15,3.3,55,12,'09 - 12,190903001
RAINS J H,371,100,218,58.799999,16,4.3000002,51,13.7,'06 - 08,190903041
RAINS INT,410,100,275,67.099998,39,9.5,64,15.6,'03 - 05,190903051
RAINS EL,0,0,324,68.400002,41,8.6000004,55,11.6,'EE - 02,190903101
CANYON H S,1148,100,332,28.9,7,0.60000002,128,11.1,'09 - 12,191901001
RANDALL H S,1680,100,483,28.799999,24,1.4,132,7.9000001,'09 - 12,191901002
YOUTH CTR OF HIGH PLAINS,51,100,8,15.7,2,3.9000001,11,21.6,'06 - 12,191901003
MIDWAY ALTERNATIVE H S,75,100,45,60,0,0,0,0,'11 - 12,191901004
CANYON J H,615,100,227,36.900002,8,1.3,75,12.2,'07 - 08,191901041
WESTOVER PARK J H,923,100,329,35.599998,11,1.2,85,9.1999998,'07 - 08,191901043
GENE HOWE EL,169,45.400002,146,39.200001,13,3.5,47,12.6,'KG - 04,191901101
SUNDOWN LANE EL,110,35.299999,160,51.299999,5,1.6,51,16.299999,'PK - 04,191901104
LAKEVIEW EL,174,35.599998,321,65.599998,17,3.5,74,15.1,'EE - 04,191901105
ARDEN ROAD EL,162,35.700001,99,21.799999,7,1.5,48,10.6,'KG - 04,191901106
CRESTVIEW EL,189,40.900002,74,16,6,1.3,38,8.1999998,'KG - 04,191901107
REEVES-HINGER EL,288,37.700001,317,41.5,9,1.2,120,15.7,'EE - 04,191901108
GREENWAYS INT,397,100,91,22.9,5,1.3,46,11.6,'05 - 06,191901110
CANYON INT,647,100,208,32.099998,6,0.89999998,93,14.4,'05 - 06,191901111
CITY VIEW EL,212,38.700001,142,25.9,26,4.6999998,42,7.6999998,'KG - 04,191901112
HILLSIDE EL,227,39.700001,132,23.1,23,4,56,9.8000002,'EE - 04,191901113
PINNACLE INT,613,100,238,38.799999,15,2.4000001,70,11.4,'05 - 06,191901114
REAGAN COUNTY H S,238,100,137,57.599998,20,8.3999996,13,5.5,'09 - 12,192901001
REAGAN COUNTY MIDDLE,197,100,133,67.5,23,11.7,19,9.6000004,'06 - 08,192901041
REAGAN COUNTY EL,180,41.299999,270,61.900002,75,17.200001,31,7.0999999,'PK - 05,192901101
BIG SPRINGS CHARTER SCHOOL,116,92.099998,100,79.400002,5,4,37,29.4,'KG - 12,193801001
HILL COUNTRY YOUTH RANCH,94,93.099998,97,96,3,3,65,64.400002,'KG - 12,193801101
LEAKEY SCHOOL,214,74,176,60.900002,13,4.5,37,12.8,'PK - 12,193902001
AVERY SECONDARY,166,100,85,51.200001,3,1.8,22,13.3,'06 - 12,194902001
AVERY EL,76,43.900002,125,72.300003,8,4.5999999,19,11,'PK - 05,194902101
RIVERCREST H S,219,100,99,45.200001,4,1.8,21,9.6000004,'09 - 12,194903001
RIVERCREST J H,159,100,96,60.400002,5,3.0999999,20,12.6,'06 - 08,194903102
RIVERCREST EL,161,47.200001,217,63.599998,30,8.8000002,33,9.6999998,'EE - 05,194903103
CLARKSVILLE MIDDLE AND H S,253,100,220,87,20,7.9000001,30,11.9,'06 - 12,194904002
CHEATHAM EL,117,41.799999,262,93.599998,33,11.8,34,12.1,'PK - 05,194904103
DETROIT H S,168,100,83,49.400002,0,0,28,16.700001,'09 - 12,194905001
DETROIT J H,104,100,65,62.5,1,1,11,10.6,'06 - 08,194905041
DETROIT EL,113,41.900002,175,64.800003,1,0.40000001,24,8.8999996,'EE - 05,194905101
PECOS H S,696,100,458,65.800003,54,7.8000002,67,9.6000004,'09 - 12,195901001
CROCKETT MIDDLE,594,100,432,72.699997,64,10.8,59,9.8999996,'06 - 08,195901042
PECOS KIND,0,0,249,77.099998,70,21.700001,26,8,'EE - KG,195901101
AUSTIN EL,212,31.6,484,72.099998,128,19.1,77,11.5,'01 - 03,195901106
HAYNES EL,513,100,377,73.5,82,16,48,9.3999996,'04 - 05,195901109
BALMORHEA SCHOOL,142,76.300003,157,84.400002,16,8.6000004,19,10.2,'PK - 12,195902001
AUSTWELL-TIVOLI H S,66,100,26,39.400002,2,3,13,19.700001,'06 - 12,196901001
AUSTWELL-TIVOLI EL,31,41.900002,36,48.599998,1,1.4,11,14.9,'PK - 05,196901102
WOODSBORO H S,190,100,190,100,0,0,28,14.7,'07 - 12,196902001
WOODSBORO EL,128,51,251,100,0,0,30,12,'PK - 06,196902102
REFUGIO H S,210,100,139,66.199997,5,2.4000001,19,9,'09 - 12,196903001
REFUGIO J H,91,100,67,73.599998,3,3.3,10,11,'07 - 08,196903042
REFUGIO EL,217,57.099998,301,79.199997,24,6.3000002,38,10,'PK - 06,196903103
MIAMI SCHOOL,162,74,64,29.200001,1,0.5,16,7.3000002,'PK - 12,197902001
BREMOND H S,133,100,71,53.400002,1,0.80000001,12,9,'09 - 12,198901001
BREMOND MIDDLE,108,100,57,52.799999,5,4.5999999,14,13,'06 - 08,198901041
BREMOND EL,107,43.5,160,65,11,4.5,23,9.3000002,'PK - 05,198901101
CALVERT SCHOOL,124,74.699997,156,94,1,0.60000002,23,13.9,'PK - 12,198902101
FRANKLIN H S,340,100,117,34.400002,10,2.9000001,41,12.1,'09 - 12,198903001
FRANKLIN MIDDLE,396,100,160,40.400002,7,1.8,50,12.6,'05 - 08,198903041
ROLAND REYNOLDS EL,178,34.799999,218,42.700001,15,2.9000001,52,10.2,'EE - 04,198903101
HEARNE H S,231,100,210,90.900002,23,10,37,16,'09 - 12,198905002
HEARNE J H,123,100,123,100,23,18.700001,26,21.1,'07 - 08,198905042
HEARNE EL,225,48.400002,455,97.800003,103,22.200001,77,16.6,'EE - 06,198905104
MUMFORD H S,231,100,160,69.300003,14,6.0999999,22,9.5,'07 - 12,198906001
MUMFORD EL,180,47.200001,272,71.400002,75,19.700001,35,9.1999998,'PK - 06,198906101
ROCKWALL H S,2684,100,457,17,44,1.6,232,8.6000004,'09 - 12,199901001
ROCKWALL QUEST ACADEMY,50,100,21,42,1,2,1,2,'09 - 12,199901002
ROCKWALL-HEATH H S,2474,100,623,25.200001,117,4.6999998,213,8.6000004,'09 - 12,199901004
J W WILLIAMS MIDDLE,824,100,149,18.1,20,2.4000001,70,8.5,'07 - 08,199901042
MAURINE CAIN MIDDLE,996,100,269,27,94,9.3999996,77,7.6999998,'07 - 08,199901043
HERMAN E UTLEY MIDDLE,896,100,250,27.9,29,3.2,81,9,'07 - 08,199901044
VIRGINIA REINHARDT EL,338,59.200001,141,24.700001,23,4,66,11.6,'KG - 06,199901101
HOWARD DOBBS EL,292,50.700001,331,57.5,145,25.200001,55,9.5,'PK - 06,199901102
AMANDA ROCHELL EL,318,56.700001,362,64.5,122,21.700001,54,9.6000004,'PK - 06,199901103
DORIS CULLINS-LAKE POINTE EL,380,58.299999,295,45.200001,47,7.1999998,76,11.7,'PK - 06,199901105
AMY PARKS-HEATH EL,305,59.599998,15,2.9000001,6,1.2,35,6.8000002,'KG - 06,199901106
NEBBIE WILLIAMS EL,325,67,56,11.5,7,1.4,76,15.7,'KG - 06,199901107
DOROTHY SMITH PULLEN EL,347,62.400002,112,20.1,45,8.1000004,68,12.2,'KG - 06,199901108
DORRIS A JONES EL,364,58.400002,366,58.700001,251,40.299999,73,11.7,'PK - 06,199901109
GRACE HARTMAN EL,320,58.799999,51,9.3999996,8,1.5,53,9.6999998,'PK - 06,199901110
OUIDA SPRINGER,408,57.200001,226,31.700001,138,19.4,66,9.3000002,'PK - 06,199901111
CELIA HAYS EL,482,55.099998,99,11.3,18,2.0999999,115,13.1,'EE - 06,199901112
SHARON SHANNON EL,410,55.599998,185,25.1,37,5,70,9.5,'KG - 06,199901113
BILLIE STEVENSON EL,381,57.400002,102,15.4,24,3.5999999,97,14.6,'EE - 06,199901114
LINDA LYON EL,271,54.5,101,20.299999,27,5.4000001,38,7.5999999,'EE - 06,199901115
ROYSE CITY H S,1752,100,594,33.900002,92,5.3000002,150,8.6000004,'09 - 12,199902002
ROYSE CITY MIDDLE,932,100,349,37.400002,64,6.9000001,114,12.2,'07 - 08,199902041
RUTH CHERRY INT,489,100,189,38.700001,48,9.8000002,52,10.6,'05 - 06,199902042
HARRY H HERNDON,549,100,232,42.299999,49,8.8999996,69,12.6,'05 - 06,199902043
DAVIS EL,212,37,259,45.200001,117,20.4,49,8.6000004,'PK - 04,199902102
ANITA SCOTT EL,200,37.799999,275,52,62,11.7,60,11.3,'EE - 04,199902104
W R (BILL) FORT EL,224,39.700001,223,39.5,95,16.799999,67,11.9,'EE - 04,199902105
MISS MAY VERNON EL,291,37.799999,292,37.900002,120,15.6,77,10,'PK - 04,199902106
BALLINGER H S,257,100,115,44.700001,1,0.40000001,24,9.3000002,'09 - 12,200901001
FAIRVIEW ACCELERATED,1,100,1,100,0,0,0,0,'12 - 12,200901003
BALLINGER J H,224,100,142,63.400002,4,1.8,15,6.6999998,'06 - 08,200901041
BALLINGER EL,194,45.900002,256,60.5,9,2.0999999,49,11.6,'EE - 05,200901101
MILES H S,197,100,60,30.5,7,3.5999999,11,5.5999999,'07 - 12,200902001
MILES EL,133,55.900002,92,38.700001,29,12.2,16,6.6999998,'PK - 06,200902101
WINTERS H S,175,100,98,56,4,2.3,20,11.4,'09 - 12,200904001
WINTERS J H,122,100,95,77.900002,9,7.4000001,15,12.3,'06 - 08,200904041
WINTERS EL,110,42.299999,179,68.800003,7,2.7,28,10.8,'EE - 05,200904101
OLFEN SCHOOL,79,77.5,76,74.5,3,2.9000001,8,7.8000002,'KG - 12,200906101
WALL SPECIAL PROGRAMS,1,100,1,100,0,0,1,100,'08 - 08,200906103
HENDERSON H S,912,100,508,55.700001,46,5,87,9.5,'09 - 12,201902001
HENDERSON MIDDLE,828,100,542,65.5,79,9.5,88,10.6,'06 - 08,201902041
MONNIE MEYER WYLIE PRI,0,0,311,82.900002,86,22.9,32,8.5,'EE - KG,201902107
NORTHSIDE EL,516,100,336,65.099998,98,19,68,13.2,'04 - 05,201902108
WILLIAM E WYLIE EL,284,36.200001,549,70,169,21.6,79,10.1,'01 - 03,201902109
LANEVILLE SCHOOL,108,65.900002,134,81.699997,22,13.4,20,12.2,'EE - 12,201903001
LEVERETTS CHAPEL H S,54,100,54,100,5,9.3000002,8,14.8,'09 - 12,201904001
LEVERETTS CHAPEL J H,68,100,68,100,14,20.6,3,4.4000001,'06 - 08,201904041
LEVERETTS CHAPEL EL,59,45.700001,129,100,40,31,13,10.1,'PK - 05,201904101
