cda00a001219r,cda00a001319r,cda00a001s19r,cda00ar01219r,cda00ar01319r,cda00ar01s19r,CAMPUSID
37,18,66,35,18,67,15916110
51,21,83,48,22,85,15916111
27,11,58,28,12,63,15916112
42,19,75,41,20,75,15916113
34,15,69,37,16,73,15916114
36,16,72,35,17,74,15916115
48,24,82,46,24,83,15916116
41,18,81,44,23,85,15916117
56,31,86,55,31,85,15916118
48,25,76,47,27,78,15916119
39,15,76,40,17,77,15916123
67,39,93,69,50,96,15916124
38,9,65,30,2,51,15917001
28,11,60,32,12,64,15917041
27,9,62,27,11,67,15917102
25,7,58,24,8,50,15917103
27,11,59,22,10,60,15917104
30,13,61,30,13,66,15917105
24,9,52,28,11,59,15917106
58,17,81,49,5,70,16901001
58,31,85,51,28,86,16901041
51,25,80,50,31,81,16901101
62,23,82,56,9,73,16902001
52,22,86,53,28,87,16902041
53,27,85,60,30,89,16902101
65,30,93,72,36,91,17901001
53,20,82,47,11,70,18901001
49,25,77,47,26,77,18901041
39,19,72,43,21,76,18901101
37,14,73,47,17,75,18902001
46,21,82,43,18,79,18902101
36,10,59,31,5,60,18903001
59,17,82,45,6,70,18904001
39,13,75,38,14,71,18904041
50,25,84,50,28,87,18904101
35,10,67,32,8,65,18905003
41,16,77,35,20,80,18906001
27,8,65,26,4,67,18907001
32,15,63,34,12,62,18908001
47,15,74,43,3,62,19901001
34,15,65,37,20,66,19901041
30,9,69,34,10,70,19901102
58,21,79,53,6,70,19902002
46,18,84,48,22,85,19902041
58,31,88,53,27,88,19902102
44,16,78,44,14,74,19903001
43,12,73,37,3,61,19905001
35,12,71,40,18,72,19905041
39,18,73,41,19,75,19905101
67,29,86,53,9,77,19906001
62,24,90,62,30,88,19906041
47,23,81,44,23,80,19906101
44,19,80,42,19,77,19906102
51,19,76,46,10,65,19907002
9,1,38,4,0,22,19907003
42,19,72,43,21,72,19907042
31,11,73,34,13,76,19907105
32,8,68,29,8,68,19907108
45,24,83,47,27,85,19907109
30,13,72,27,14,69,19907111
47,22,82,48,22,82,19907113
87,60,99,83,54,99,19907116
40,18,81,40,20,81,19907117
36,9,69,34,4,60,19908001
31,11,65,34,15,66,19908041
23,10,50,23,11,49,19908103
44,15,77,42,11,66,19909001
40,19,75,39,21,72,19909041
51,24,83,47,25,83,19909101
68,31,93,68,32,93,19910101
76,45,94,72,45,95,19911041
75,44,94,75,48,94,19911101
61,20,87,65,13,85,19912001
56,26,87,56,29,86,19912041
66,41,90,64,40,91,19912200
22,4,74,27,9,80,19913101
33,8,65,40,14,69,19914101
50,15,75,41,3,63,20901001
56,19,79,46,5,66,20901002
35,12,67,23,2,53,20901005
64,27,84,63,16,79,20901006
43,20,73,42,21,71,20901041
46,23,77,48,25,79,20901042
33,12,70,34,13,70,20901043
60,37,84,61,39,84,20901045
37,13,71,38,16,71,20901046
38,16,71,40,19,71,20901047
60,32,86,62,36,87,20901048
36,16,72,38,19,75,20901101
39,17,75,43,20,78,20901103
39,19,70,39,18,71,20901104
41,18,73,40,19,75,20901105
53,27,85,49,25,87,20901107
43,20,75,43,21,74,20901108
51,23,84,41,21,79,20901109
48,23,82,45,23,78,20901110
66,42,90,64,41,90,20901111
72,48,93,73,50,94,20901112
45,21,79,46,23,79,20901113
71,45,91,70,44,92,20901114
60,32,87,57,32,88,20901115
46,21,78,43,20,77,20901116
65,41,88,65,43,89,20901117
53,30,81,51,31,82,20901118
53,19,75,45,5,64,20902001
,,,,,,20902004
41,15,75,42,19,75,20902044
39,18,79,42,19,84,20902102
36,16,72,35,14,75,20902103
42,21,82,45,24,83,20902104
47,23,82,50,25,83,20902108
64,33,90,59,31,89,20902109
51,23,81,50,24,82,20902110
53,14,79,49,8,69,20904001
52,22,83,43,21,73,20904041
51,28,84,48,22,85,20904101
40,8,66,31,2,51,20905001
52,17,75,48,8,66,20905002
,,,,,,20905004
14,2,53,16,1,38,20905006
33,12,70,33,12,69,20905041
40,17,75,38,19,71,20905042
51,25,80,54,30,82,20905043
39,22,76,36,23,72,20905101
59,30,90,60,35,89,20905102
48,24,82,46,26,84,20905107
41,17,73,38,15,70,20905108
58,33,88,52,31,88,20905109
39,18,69,34,15,69,20905110
68,40,93,70,43,94,20905111
54,26,83,54,26,84,20905113
